a      | aa a
te     | t  e
tei    | t  ei
teng   | t  eng
ter    | t  er
ti     | t  i
tian   | t  ian
tiao   | t  iao
tie    | t  ie
ting   | t  ing
tiu    | t  iou
tong   | t  ong
tou    | t  ou
tu     | t  u
tua    | t  ua
tuai   | t  uai
tuan   | t  uan
tui    | t  uei
tun    | t  uen
tuo    | t  uo
wa     | uu ua
wai    | uu uai
wan    | uu uan
wang   | uu uang
wei    | uu uei
wen    | uu uen
weng   | uu ueng
wo     | uu uo
wu     | uu u
ya     | ii ia
yan    | ii ian
yang   | ii iang
yao    | ii iao
ye     | ii ie
yi     | ii i
yin    | ii in
ying   | ii ing
yong   | ii iong
you    | ii iou
yu     | vv v
yv     | vv v
yuan   | vv van
yvan   | vv van
yue    | vv ve
yve    | vv ve
yun    | vv vn
yvn    | vv vn
xi     | x  i
xia    | x  ia
xian   | x  ian
xiang  | x  iang
xiao   | x  iao
xie    | x  ie
xin    | x  in
xing   | x  ing
xiong  | x  iong
xiu    | x  iou
xu     | x  u
xv     | x  v
xuan   | x  van
xvan   | x  van
xue    | x  ve
xve    | x  ve
xun    | x  vn
xvn    | x  vn 
za     | z  a
zai    | z  ai
zan    | z  an
zang   | z  ang
zao    | z  ao
ze     | z  e
zei    | z  ei
zen    | z  en
zeng   | z  eng
zer    | z  er
zi     | z  iy
zong   | z  ong
zou    | z  ou
zu     | z  u
zua    | z  ua
zuai   | z  uai
zuan   | z  uan
zuang  | z  uang
zui    | z  uei
zun    | z  uen
zuo    | z  uo
zha    | zh a
zhai   | zh ai
zhan   | zh an
zhang  | zh ang
zhao   | zh ao
zhe    | zh e
zhen   | zh en
zheng  | zh eng
zher   | zh er
zhi    | zh ix
zhong  | zh ong
zhou   | zh ou
zhu    | zh u
zhua   | zh ua
zhuai  | zh uai
zhuan  | zh uan
zhuang | zh uang
zhui   | zh uei
zhun   | zh uen
zhuo   | zh uo
